City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,301.14,83,75,4.63,CC,1706982133
1,remire-montjoly,4.9167,-52.2667,305.17,62,20,5.66,GF,1706982117
2,tindouf,27.6711,-8.1474,294.4,8,0,7.2,DZ,1706982201
3,puerto ayora,-0.7393,-90.3518,304.13,79,55,5.02,EC,1706982201
4,grytviken,-54.2811,-36.5092,281.88,93,100,5.23,GS,1706982132
5,albany,42.6001,-73.9662,275.0,64,52,2.24,US,1706982084
6,longyearbyen,78.2186,15.6401,264.06,67,0,6.69,SJ,1706982201
7,lihue,21.9789,-159.3672,293.92,59,75,11.32,US,1706981969
8,la ronge,55.1001,-105.2842,274.29,86,100,3.6,CA,1706982069
9,atafu village,-8.5421,-172.5159,302.08,76,100,8.63,TK,1706982139
10,ponta pora,-22.5361,-55.7256,305.1,40,40,4.12,BR,1706982201
11,port-aux-francais,-49.35,70.2167,280.68,77,59,2.96,TF,1706982133
12,kodiak,57.79,-152.4072,268.88,80,100,0.0,US,1706982202
13,alakurtti,66.9672,30.3491,269.3,96,100,4.2,RU,1706982069
14,port lincoln,-34.7333,135.8667,292.42,67,0,1.81,AU,1706982123
15,stanley,54.868,-1.6985,280.66,78,20,7.2,GB,1706981903
16,fukuecho,32.6881,128.8419,284.44,88,100,10.2,JP,1706982202
17,qaqortoq,60.7167,-46.0333,254.73,69,4,3.62,GL,1706982202
18,klyuchi,52.2667,79.1667,267.65,83,100,6.86,RU,1706982202
19,sinabang,2.4803,96.3801,299.11,84,100,4.26,ID,1706982202
20,lompoc,34.6391,-120.4579,287.0,80,100,2.57,US,1706982202
21,kailua-kona,19.6406,-155.9956,294.13,90,0,14.92,US,1706982024
22,invercargill,-46.4,168.35,284.27,78,96,2.68,NZ,1706982203
23,yelm,46.942,-122.606,280.11,70,100,0.73,US,1706981942
24,petropavlovsk-kamchatsky,53.0452,158.6483,253.48,85,0,4.0,RU,1706982203
25,nalgonda,17.05,79.2667,297.08,70,62,0.62,IN,1706982203
26,el golaa,33.4849,9.0068,287.37,49,24,3.53,TN,1706982203
27,waitangi,-43.9535,-176.5597,287.49,70,17,10.15,NZ,1706982132
28,kurtamysh,54.9103,64.4319,265.13,94,100,3.58,RU,1706982203
29,itaituba,-4.2761,-55.9836,304.24,66,40,4.12,BR,1706982137
30,muynoq,43.7683,59.0214,272.77,90,49,2.94,UZ,1706982203
31,dudinka,69.4058,86.1778,259.08,94,100,5.36,RU,1706982204
32,enewetak,11.3474,162.3373,299.63,84,61,9.92,MH,1706982204
33,belyy yar,53.6039,91.3903,257.09,100,40,0.0,RU,1706982204
34,ilulissat,69.2167,-51.1,252.16,49,20,4.63,GL,1706982204
35,labytnangi,66.6572,66.4183,247.94,100,100,1.33,RU,1706982204
36,hami,42.8,93.45,268.59,65,9,2.79,CN,1706982204
37,bethel,41.3712,-73.414,277.9,56,0,6.17,US,1706982204
38,kerman,30.2832,57.0788,275.07,20,0,3.09,IR,1706982204
39,prineville,44.2999,-120.8345,277.21,81,0,0.0,US,1706982205
40,sechura,-5.5569,-80.8222,302.47,60,87,5.28,PE,1706982205
41,guerrero negro,27.9769,-114.0611,290.31,55,2,6.89,MX,1706982019
42,severo-yeniseyskiy,60.3725,93.0408,257.91,97,100,0.89,RU,1706982205
43,attapeu,14.8,106.8333,301.24,51,73,1.04,LA,1706982205
44,hammerfest,70.6634,23.6821,269.4,80,100,3.6,NO,1706982205
45,punta arenas,-53.15,-70.9167,285.21,58,75,8.75,CL,1706982025
46,ulaangom,49.9811,92.0667,246.12,92,95,1.14,MN,1706982205
47,bintulu,3.1667,113.0333,298.38,94,20,0.0,MY,1706982205
48,yellowknife,62.456,-114.3525,255.6,96,100,7.2,CA,1706982159
49,pasni,25.2631,63.471,296.26,72,100,7.92,PK,1706982206
50,olonkinbyen,70.9221,-8.7187,267.75,68,100,7.3,SJ,1706982121
51,san antonio de pale,-1.4014,5.6325,301.67,74,60,3.69,GQ,1706982206
52,puerto natales,-51.7236,-72.4875,289.4,36,20,11.83,CL,1706982139
53,dakhla,23.6848,-15.958,296.16,53,96,7.72,EH,1706982206
54,at taj,24.2049,23.2857,284.37,41,1,3.96,LY,1706982206
55,tura,25.5198,90.2201,286.03,33,0,1.61,IN,1706982206
56,edinburgh of the seven seas,-37.0676,-12.3116,289.19,72,26,9.6,SH,1706982134
57,ushuaia,-54.8,-68.3,283.96,66,75,5.14,AR,1706982134
58,mimon,50.6587,14.7247,282.18,89,100,5.1,CZ,1706982207
59,koungheul,13.9833,-14.8,309.87,8,63,3.68,SN,1706982207
60,noosa heads,-26.3833,153.15,296.54,84,14,1.22,AU,1706982207
61,weno,7.4515,151.8468,298.12,100,100,4.12,FM,1706982207
62,general conesa,-40.1,-64.4333,297.91,16,0,10.15,AR,1706982207
63,adamstown,-25.066,-130.1015,297.79,75,89,1.65,PN,1706982131
64,hawaiian paradise park,19.5933,-154.9731,291.88,94,100,7.2,US,1706982207
65,udachny,66.4167,112.4,241.91,90,87,1.28,RU,1706982133
66,champerico,14.3,-91.9167,306.45,57,2,4.76,GT,1706982208
67,wailua homesteads,22.0669,-159.378,293.59,60,75,11.32,US,1706982208
68,newman,37.3138,-121.0208,283.87,84,84,0.89,US,1706982084
69,lebu,-37.6167,-73.65,290.63,67,3,10.31,CL,1706982131
70,sterling,39.0062,-77.4286,282.33,54,0,3.6,US,1706982045
71,pisco,-13.7,-76.2167,298.72,73,75,4.12,PE,1706982020
72,mitsamiouli,-11.3847,43.2844,300.99,75,12,1.38,KM,1706982072
73,mohr,54.3528,9.7167,280.45,90,66,8.23,DE,1706982208
74,carauari,-4.8828,-66.8958,303.07,77,85,1.36,BR,1706982209
75,bilibino,68.0546,166.4372,244.7,78,1,3.25,RU,1706982209
76,onguday,50.75,86.15,256.06,95,70,1.29,RU,1706982209
77,hovd,48.0056,91.6419,253.98,88,9,1.06,MN,1706981988
78,guiuan,11.0333,125.7247,300.24,75,53,6.86,PH,1706982209
79,malabar,-33.9667,151.25,296.0,77,75,5.14,AU,1706982209
80,grand falls-windsor,48.9332,-55.6649,270.65,91,100,4.02,CA,1706982020
81,mount isa,-20.7333,139.5,297.02,94,100,5.66,AU,1706982209
82,miles city,46.4083,-105.8406,275.69,93,0,4.12,US,1706982210
83,kabwe,-14.4469,28.4464,293.22,77,62,2.39,ZM,1706982210
84,santa cruz,-17.8,-63.1667,308.18,46,20,4.63,BO,1706982061
85,port elizabeth,-33.918,25.5701,297.65,94,100,3.09,ZA,1706982027
86,banff,51.1762,-115.5698,273.36,100,100,0.0,CA,1706982210
87,val-des-monts,45.6501,-75.666,271.9,73,100,1.03,CA,1706982210
88,tiksi,71.6872,128.8694,237.17,100,100,2.16,RU,1706982133
89,upata,8.0086,-62.3989,309.54,27,39,2.57,VE,1706982210
90,iqaluit,63.7506,-68.5145,248.0,69,20,5.14,CA,1706982145
91,saipan,15.1355,145.701,299.54,73,0,9.77,MP,1706982210
92,christchurch,-43.5333,172.6333,281.75,86,37,1.03,NZ,1706981925
93,emerald,-23.5333,148.1667,296.12,87,100,5.38,AU,1706982054
94,antofagasta,-23.65,-70.4,298.75,68,13,3.96,CL,1706982211
95,blackmans bay,-43.0167,147.3167,288.44,86,100,2.24,AU,1706982211
96,namibe,-15.1961,12.1522,298.7,85,97,1.97,AO,1706982211
97,faya-largeau,17.9257,19.1043,291.25,15,3,7.34,TD,1706982073
98,morant bay,17.8815,-76.4093,302.94,65,29,1.53,JM,1706982211
99,hastings,50.8552,0.5729,285.36,44,100,7.59,GB,1706982211
100,zaozersk,69.4005,32.4476,260.87,94,99,2.3,RU,1706982211
101,chinchilla,-26.75,150.6333,296.49,84,17,0.89,AU,1706982211
102,whitehorse,60.7161,-135.0538,243.58,76,75,2.06,CA,1706982212
103,avarua,-21.2078,-159.775,299.18,94,75,3.09,CK,1706982149
104,haci zeynalabdin,40.6233,49.5586,279.23,73,94,4.52,AZ,1706982212
105,fuji,35.1667,138.6833,279.24,94,100,0.84,JP,1706982212
106,al bardiyah,31.7561,25.0865,287.94,54,23,5.11,LY,1706982212
107,chibougamau,49.9168,-74.3659,265.94,79,100,4.12,CA,1706982212
108,chonchi,-42.6128,-73.8092,293.9,39,49,1.0,CL,1706982111
109,la passe,45.5549,-0.8967,280.28,90,32,2.7,FR,1706982212
110,faaa,-17.55,-149.6,302.13,65,40,2.06,PF,1706982212
111,prabumulih,-3.45,104.25,296.48,98,93,1.14,ID,1706982213
112,kaa-khem,51.6833,94.7333,248.38,99,100,0.46,RU,1706982213
113,kuqa,41.7278,82.9364,270.11,75,43,1.37,CN,1706982213
114,karratha,-20.7377,116.8463,300.23,75,44,9.24,AU,1706982213
115,vorgashor,67.5833,63.95,254.5,91,100,4.61,RU,1706982213
116,afaahiti,-17.75,-149.2833,301.08,78,79,5.11,PF,1706982213
117,mezhdurechenskiy,59.6,65.9333,254.79,99,85,2.89,RU,1706982213
118,karukh,34.4811,62.5863,274.33,61,96,1.89,AF,1706982213
119,papatowai,-46.5619,169.4708,282.28,71,88,4.11,NZ,1706982214
120,nuuk,64.1835,-51.7216,261.49,61,20,6.17,GL,1706982115
121,howrah,22.5892,88.3103,293.15,77,0,2.06,IN,1706982052
122,arraial do cabo,-22.9661,-42.0278,304.13,74,75,8.75,BR,1706982137
123,mount pearl,47.5166,-52.7813,271.4,87,100,7.72,CA,1706982126
124,lospalos,-8.5186,127.0025,296.66,93,72,1.98,TL,1706982011
125,kingston,17.997,-76.7936,302.68,60,20,2.57,JM,1706982014
126,nantucket,41.2835,-70.0995,273.23,71,100,12.38,US,1706981984
127,fort bragg,35.139,-79.006,284.62,47,0,4.12,US,1706982116
128,iskateley,67.6803,53.1512,260.38,86,24,6.26,RU,1706982214
129,jamestown,42.097,-79.2353,278.16,76,0,1.54,US,1706982157
130,susuman,62.7833,148.1667,248.14,94,100,1.79,RU,1706982148
131,connersville,39.6412,-85.1411,280.21,82,4,3.13,US,1706982215
132,oban,56.4127,-5.4706,280.03,79,97,8.67,GB,1706982215
133,thompson,55.7435,-97.8558,271.24,100,100,4.12,CA,1706982131
134,ribeira grande,38.5167,-28.7,291.37,77,20,7.72,PT,1706982131
135,villa maria grande,-31.6656,-59.9018,314.26,19,4,0.83,AR,1706982215
136,newton,42.337,-71.2092,276.38,58,0,5.66,US,1706982215
137,viedma,-40.8135,-62.9967,294.28,31,2,10.48,AR,1706982215
